Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$441,654,352","$331,279",<0.1%,"$441,323,073",99.9%
2,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
3,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
4,Tenet,"$284,900,000","$41,200,000",14.5%,"$243,700,000",85.5%
5,Dolittle,"$245,291,417","$77,047,065",31.4%,"$168,244,352",68.6%
6,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Onward,"$144,983,422","$61,555,145",42.5%,"$83,428,277",57.5%
8,The Invisible Man,"$130,722,137","$64,914,050",49.7%,"$65,808,087",50.3%
9,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
10,Mulan,"$64,400,000",-,-,"$64,400,000",100%
11,Fantasy Island,"$47,616,699","$26,441,782",55.5%,"$21,174,917",44.5%
12,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
13,The New Mutants,"$39,920,028","$20,174,061",50.5%,"$19,745,967",49.5%
14,Peninsula,"$35,991,161","$1,106,651",3.1%,"$34,884,510",96.9%
15,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
16,After We Collided,"$34,466,435",-,-,"$34,466,435",100%
17,Unhinged,"$32,132,654","$17,532,654",54.6%,"$14,600,000",45.4%
18,Bloodshot,"$30,936,206","$10,021,787",32.4%,"$20,914,419",67.6%
19,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
20,Emma.,"$25,642,861","$10,055,355",39.2%,"$15,587,506",60.8%
21,Scoob!,"$22,200,000",-,-,"$22,200,000",100%
22,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
23,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
24,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
25,Trolls World Tour,"$18,977,872",-,-,"$18,977,872",100%
26,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
27,Greenland,"$17,600,000",-,-,"$17,600,000",100%
28,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$17,197,009",-,-,"$17,197,009",100%
29,Baaghi 3,"$16,726,045","$721,439",4.3%,"$16,004,606",95.7%
30,I Still Believe,"$15,584,816","$9,868,521",63.3%,"$5,716,295",36.7%
31,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
32,The Personal History of David Copperfield,"$12,730,583","$1,825,170",14.3%,"$10,905,413",85.7%
33,The Hunt,"$10,843,260","$5,812,500",53.6%,"$5,030,760",46.4%
34,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
35,My Spy,"$10,200,000",-,-,"$10,200,000",100%
36,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
37,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
38,Malang,"$8,397,569",-,-,"$8,397,569",100%
39,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
40,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
41,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
42,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
43,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
44,Bill & Ted Face the Music,"$5,099,560","$3,305,411",64.8%,"$1,794,149",35.2%
45,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
46,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
47,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
48,The SpongeBob Movie: Sponge on the Run,"$4,470,916","$4,470,916",100%,-,-
49,Clueless 25th Anniversary,"$4,263,607",-,-,"$4,263,607",100%
50,Military Wives,"$4,070,904",-,-,"$4,070,904",100%
51,Digimon Adventure: Last Evolution Kizuna,"$3,989,628",-,-,"$3,989,628",100%
52,Antebellum,"$3,950,451",-,-,"$3,950,451",100%
53,The Wretched,"$3,919,331","$1,814,193",46.3%,"$2,105,138",53.7%
54,The Broken Hearts Gallery,"$3,893,345","$3,458,401",88.8%,"$434,944",11.2%
55,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
56,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
57,Samsam,"$3,301,763","$53,273",1.6%,"$3,248,490",98.4%
58,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
59,Infidel,"$3,111,965","$3,111,965",100%,-,-
60,The Rental,"$2,892,723","$1,634,304",56.5%,"$1,258,419",43.5%
61,No Escape,"$2,774,597","$134,125",4.8%,"$2,640,472",95.2%
62,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$2,631,382","$2,018,000",76.7%,"$613,382",23.3%
63,Ava,"$2,426,513","$219,370",9%,"$2,207,143",91%
64,The Secret: Dare to Dream,"$2,413,603",-,-,"$2,413,603",100%
65,Words on Bathroom Walls,"$2,388,265","$2,388,265",100%,-,-
